CUS_ID,GENDER,AGE,CHARGE_CITY_CD,CONTACT_CITY_CD,EDUCATION_CD,MARRIAGE_CD,LAST_A_CCONTACT_DT,L1YR_A_ISSUE_CNT,LAST_A_ISSUE_DT,L1YR_B_ISSUE_CNT,LAST_B_ISSUE_DT,CHANNEL_A_POL_CNT,CHANNEL_B_POL_CNT,OCCUPATION_CLASS_CD,APC_CNT,INSD_CNT,APC_1ST_AGE,INSD_1ST_AGE,IF_2ND_GEN_IND,APC_1ST_YEARDIF,RFM_R,REBUY_TIMES_CNT,LEVEL,RFM_M_LEVEL,LIFE_CNT,IF_ISSUE_A_IND,IF_ISSUE_B_IND,IF_ISSUE_C_IND,IF_ISSUE_D_IND,IF_ISSUE_E_IND,IF_ISSUE_F_IND,IF_ISSUE_G_IND,IF_ISSUE_H_IND,IF_ISSUE_I_IND,IF_ISSUE_J_IND,IF_ISSUE_K_IND,IF_ISSUE_L_IND,IF_ISSUE_M_IND,IF_ISSUE_N_IND,IF_ISSUE_O_IND,IF_ISSUE_P_IND,IF_ISSUE_Q_IND,IF_ADD_F_IND,IF_ADD_L_IND,IF_ADD_Q_IND,IF_ADD_G_IND,IF_ADD_R_IND,IF_ADD_IND,ANNUAL_PREMIUM_AMT,AG_CNT,AG_NOW_CNT,CLC_CUR_NUM,ANNUAL_INCOME_AMT,L1YR_PAYMENT_REMINDER_IND,L1YR_LAPSE_IND,LAST_B_CONTACT_DT,A_IND,B_IND,C_IND,LAST_C_DT,L1YR_C_CNT,BANK_NUMBER_CNT,INSD_LAST_YEARDIF_CNT,BMI,IF_S_REAL_IND,IF_Y_REAL_IND,IM_CNT,IM_IS_A_IND,IM_IS_B_IND,IM_IS_C_IND,IM_IS_D_IND,TERMINATION_RATE,X_A_IND,X_B_IND,X_C_IND,X_D_IND,X_E_IND,X_F_IND,X_G_IND,X_H_IND,TOOL_VISIT_1YEAR_CNT,DIEBENEFIT_AMT,DIEACCIDENT_AMT,POLICY_VALUE_AMT,ANNUITY_AMT,EXPIRATION_AMT,ACCIDENT_HOSPITAL_REC_AMT,DISEASES_HOSPITAL_REC_AMT,OUTPATIENT_SURGERY_AMT,INPATIENT_SURGERY_AMT,PAY_LIMIT_MED_MISC_AMT,FIRST_CANCER_AMT,ILL_ACCELERATION_AMT,ILL_ADDITIONAL_AMT,LONG_TERM_CARE_AMT,MONTHLY_CARE_AMT,IF_HOUSEHOLD_CLAIM_IND,LIFE_INSD_CNT,IF_ISSUE_INSD_A_IND,IF_ISSUE_INSD_B_IND,IF_ISSUE_INSD_C_IND,IF_ISSUE_INSD_D_IND,IF_ISSUE_INSD_E_IND,IF_ISSUE_INSD_F_IND,IF_ISSUE_INSD_G_IND,IF_ISSUE_INSD_H_IND,IF_ISSUE_INSD_I_IND,IF_ISSUE_INSD_J_IND,IF_ISSUE_INSD_K_IND,IF_ISSUE_INSD_L_IND,IF_ISSUE_INSD_M_IND,IF_ISSUE_INSD_N_IND,IF_ISSUE_INSD_O_IND,IF_ISSUE_INSD_P_IND,IF_ISSUE_INSD_Q_IND,IF_ADD_INSD_F_IND,IF_ADD_INSD_L_IND,IF_ADD_INSD_Q_IND,IF_ADD_INSD_G_IND,IF_ADD_INSD_R_IND,IF_ADD_INSD_IND,L1YR_GROSS_PRE_AMT,CUST_9_SEGMENTS_CD,FINANCETOOLS_A,FINANCETOOLS_B,FINANCETOOLS_C,FINANCETOOLS_D,FINANCETOOLS_E,FINANCETOOLS_F,FINANCETOOLS_G,Y1
3418,M,§C,A1,A1,NA,NA,Y,0,N,0,N,0,0,1,0,0,§C,§C,N,0.046511628,§C,§C,3,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000191961,1,0,0,0.001666657,N,N,N,NA,NA,NA,N,NA,0.125,0.052631579,0.125,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.000174136,C,NA,NA,NA,NA,NA,NA,NA,N
4302,M,§C,A1,A1,NA,NA,Y,0,N,0,N,0,0,1,0,0,§C,¤¤,N,0.046511628,§C,§C,5,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0.009675454,1,0,0,0.000166657,N,N,N,NA,NA,NA,N,NA,0.125,0.052631579,0.175,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,NA,NA,NA,NA,NA,N,0.00872448,A,NA,NA,NA,NA,NA,NA,NA,N
5545,M,§C,A1,A1,1,0,Y,1,Y,0,N,1,0,1,1,0,§C,¤¤,Y,0,§C,§C,5,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000292155,1,0,1,0.00012499,N,N,N,NA,NA,NA,N,NA,0,0,0.225,N,N,0,N,N,N,N,0,N,N,N,Y,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0.03125,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.005359099,A,Y,N,N,N,N,N,N,N
7207,M,§C,A1,A1,NA,0,Y,0,N,0,N,0,0,1,0,0,§C,¤¤,N,0.162790698,¤¤°ª,§C,5,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,NA,1,0,0,0.004166657,N,N,N,NA,NA,NA,N,NA,0.125,0.210526316,0.15,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,NA,NA,NA,NA,NA,N,0,C,NA,NA,NA,NA,NA,NA,NA,N
7213,M,§C,A1,A1,1,0,N,0,N,0,N,1,0,1,1,0,§C,§C,Y,0.11627907,¤¤,§C,2,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000663908,1,1,1,8.33E-05,N,N,N,Y,N,N,N,NA,0,0.078947368,0.175,N,N,0,N,N,N,N,0,N,Y,N,N,Y,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0.047169811,0,0,0,0,Y,0.0625,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,N,NA,NA,NA,NA,NA,N,0.000602821,C,NA,NA,NA,NA,NA,NA,NA,N
8818,M,§C,A1,A1,NA,0,Y,0,N,0,N,0,0,1,0,0,§C,§C,N,0.186046512,¤¤°ª,§C,3,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000265484,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0.125,0.210526316,0.225,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.000243492,C,NA,NA,NA,NA,NA,NA,NA,N
9681,M,§C,A1,A1,NA,0,N,0,N,0,N,0,0,1,0,0,§C,§C,N,0.069767442,¤¤,§C,3,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.002922865,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0.125,0.078947368,0.2,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.002600318,A,NA,NA,NA,NA,NA,NA,NA,N
9743,M,§C,A1,A1,NA,0,Y,0,N,0,N,0,0,1,0,0,§C,§C,N,0.046511628,§C,§C,5,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0.003267261,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0.125,0.052631579,0.15,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,NA,NA,NA,NA,NA,N,0.002886755,A,NA,NA,NA,NA,NA,NA,NA,N
9839,M,§C,A1,A1,1,0,N,0,N,0,N,0,0,1,1,0,§C,§C,Y,0.11627907,¤¤,§C,1,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000154419,2,0,0,0.00024999,N,N,N,NA,NA,NA,N,NA,0.125,0.131578947,0.325,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,0.03125,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.000140213,C,NA,NA,NA,NA,NA,NA,NA,N
10246,M,§C,A1,A1,NA,0,N,0,N,0,N,0,0,1,1,0,§C,§C,Y,0.139534884,¤¤°ª,§C,1,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000200745,1,0,0,0.000416657,N,N,N,NA,NA,NA,N,NA,0.125,0.157894737,0.3,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.046875,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,NA,NA,NA,NA,NA,N,0.000182278,C,NA,NA,NA,NA,NA,NA,NA,N
10880,M,§C,A1,A1,1,0,N,0,N,0,N,1,0,1,1,0,§C,¤¤,Y,0.11627907,¤¤,§C,2,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0.001100306,1,1,1,0.000208323,N,N,N,NA,NA,NA,N,NA,0.125,0.131578947,0.2,Y,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0.32,0.322580645,0.142857143,0.103030303,0,0.037735849,0,0,0,0.045103093,Y,0.0625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,0.000999067,A,NA,NA,NA,NA,NA,NA,NA,N
11987,M,§C,A1,A1,1,0,N,0,N,0,N,0,0,1,2,0,§C,§C,Y,0.162790698,¤¤°ª,§C,1,3,§C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,1,0,0,0.000166657,N,N,N,NA,NA,NA,Y,1,0.125,0.184210526,0.2,N,N,0,N,N,N,N,100,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0,C,Y,N,N,N,N,N,N,N
18285,M,§C,A1,A1,NA,0,Y,0,N,0,Y,0,1,1,0,0,§C,¤¤,N,0.162790698,§C,¤¤,4,5,¤¤,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.000256174,2,1,1,NA,N,N,N,NA,NA,NA,N,NA,0.25,0.026315789,0.25,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0.000149948,0.000150075,0,0,0,0,0,0,0,0,0.314465409,0,0,0,0,Y,0.03125,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.000211104,C,NA,NA,NA,NA,NA,NA,NA,N
18316,M,§C,A1,A1,2,0,Y,0,Y,0,N,1,0,1,0,0,§C,¤¤,N,0.023255814,§C,§C,4,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,0.001604002,1,1,1,0.000166657,N,N,N,NA,NA,NA,Y,NA,0.125,0.026315789,0.25,N,N,0,N,N,N,N,0,N,Y,N,N,N,N,N,N,0,0.000939709,0.000939676,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.001449066,A,NA,NA,NA,NA,NA,NA,NA,N
20015,M,§C,A1,A1,1,0,N,0,N,0,N,0,0,1,1,1,§C,§C,Y,0.209302326,¤¤°ª,§C,1,3,§C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0,0.078947368,0.15,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.03125,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0,C,NA,NA,NA,NA,NA,NA,NA,N
21026,M,§C,A1,A1,NA,0,N,0,N,0,N,0,0,1,0,0,§C,¤¤,N,0.139534884,¤¤°ª,§C,1,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,NA,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0.125,0.157894737,0.2,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,0.015625,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,NA,NA,NA,NA,NA,N,0.000434654,C,NA,NA,NA,NA,NA,NA,NA,N
21448,M,§C,A1,A1,NA,0,N,0,N,0,N,0,0,1,0,0,§C,§C,N,0.186046512,¤¤°ª,§C,1,3,¤¤,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,0,0,NA,N,N,N,NA,NA,NA,N,NA,0,0.210526316,NA,N,N,0,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0.002833892,0,0,0,0,0,0,0,0,0,0,0,0,N,0.015625,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,NA,NA,NA,N,0,C,NA,NA,NA,NA,NA,NA,NA,N
22872,M,§C,A2,A2,1,0,Y,0,N,0,N,1,0,1,1,0,§C,§C,Y,0.069767442,¤¤,§C,5,3,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0.019459171,1,1,1,0.00012499,N,N,N,NA,NA,NA,N,NA,0,0.078947368,0.275,N,N,0,N,N,N,N,0,N,Y,N,N,N,N,Y,N,1,0.030274696,0.030274609,0,0.074223061,0,0,0,0,0,0,0,0,0,0,0,Y,0.0625,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,NA,NA,NA,NA,NA,N,0.017311792,A,Y,N,N,N,N,N,N,N
23999,M,§C,A1,A1,3,0,N,0,N,0,N,2,0,1,0,0,§C,§C,N,0.162790698,¤¤°ª,§C,1,5,¤¤,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0.000619463,1,0,1,8.33E-05,N,N,N,NA,NA,NA,Y,1,0.125,0.184210526,0.225,N,N,0,N,N,N,N,0,N,N,Y,N,N,N,N,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,0.03125,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,NA,NA,NA,NA,NA,N,0.000562464,C,NA,NA,NA,NA,NA,NA,NA,N
